product_id,sub_category
1298,Face Moisturiser
1301,Eau De Parfum
1302,Eau De Parfum
1303,Blush
1304,Liquid Lipstick
1306,Eau De Parfum
1307,Face Wash
1308,Eyeliner
1309,Hair Serum
1311,Body Wash
1313,Eau De Parfum
1315,Body Mist
1316,Eyebrow Enhancer Pencil
1317,Face Brush
1318,Face Brush
1320,Body Scrub
1322,Face Moisturizer
1323,Body Lotion
1325,Body Lotion
1326,Lip Oil
1328,Face Sunscreen
1329,Lip Tint
1333,Hair Band
1334,Face Mask
1335,Foot Socks Mask
1336,Body Spray
1337,Lipstick
1340,Nail Polish
1344,Body Moisturiser
1345,Eau De Parfum
1346,Lipstick
1348,Hair Serum
1351,Sleeping Face Mask
1353,Face Moisturiser
1355,Face Cream
1356,Lip Tint
1357,Roll On
1360,Eau De Toilette
1361,Nail Polish
1362,Face Sunscreen
1363,Hair Oil
1367,Liquid Lipstick
1368,Nail Polish
1369,Color Corrector
1371,Hair Serum
1372,Face Serum
1373,Blush Brush
1375,Body Wash
1376,Hair Serum
1377,Eau De Parfum
1378,Eyeliner
1379,Face Cleanser
1380,Eau De Parfum
1381,Kajal
1382,Skin Cleanser
1383,Eau De Parfum
1385,Hair Serum
1386,Hair Serum
1387,Lipstick
1388,Eau De Parfum
1389,Body Lotion
1390,Face Brush
1394,Foundation
1396,Soap
1398,Hair Serum
1399,Eau De Parfum
1401,Body Scrub
1402,Face Primer
1405,Eau De Parfum
1406,Toner
1407,Massage Oil
1408,Toner
1412,Mascara
1415,Nail Polish
1418,Body Scrub
1419,Face Cleanser
1424,Hair Mask
1425,Lipstick
1426,Sunscreen Moisturizer
1427,Eau De Parfum
1428,Eau De Parfum
1430,Hair Oil
1432,Loose Powder
1433,Blush
1435,Nail Polish
1437,Setting Spray
1438,Body Lotion
1440,Body Lotion
1441,Hair Oil
1444,Conditioner
1446,"Shower Gel, Body Lotion & After Bath Oil"
1448,Hair Spray
1450,Eyebrow Pencil
1451,Body Wash
1452,Eye Gel Patch
1453,Eyeshadow Palette
1454,Foundation
1455,Makeup Palette
1456,Makeup Organiser Bag
1458,Nail Polish
1460,Shower Gel
1461,Face Moisturiser
1464,Body Peel
1466,Face Moisturiser
1468,Eyeliner
1469,Sleeping Mask
1471,Body Lotion
1472,Hair Oil
1473,Eau De Toilette
1476,Eau De Toilette
1477,Shampoo
1479,Liquid Lipstick
1480,Face Serum
1482,Eau De Parfum
1483,Deodorant
1485,Eau De Parfum
1486,Eau De Parfum
1487,Deodorant
1489,Body Spray
1491,Body Wash
1492,Under Arm Roll On
1498,Eau De Parfum
1499,Eyebrow Gel
1503,Foundation
1505,Face Moisturizer
1510,Deodorant
1511,Conditioner
1512,Eyeshadow Palette
1514,Hair Oil
1517,Hair Oil
1519,Face Cleanser
1520,Parfum
1521,Face Wash
1522,Lip Balm
1524,Hair Oil
1525,Hair Serum
1527,Shampoo
1528,Hair Cream
1529,Hair Cream
1532,Shampoo
1533,Conditioner
1534,Lipstick
1535,Perfume
1537,Lipstick
1538,Lip Crayon
1540,Lip Tint
1541,Face Moisturiser
1542,Hair Serum
1545,Aftershave Lotion
1546,"Moisturizer Cream, Skin Cream & Sleeping Mask"
1547,Eau De Parfum
1548,Eau De Parfum
