product_id,brand
1541,Cetaphil
1542,Streax Professional
1545,Gillette
1546,Laneige
1547,mCaffeine
1548,Kayali
1549,Huda Beauty
1553,L'Oreal Paris
1554,Colorbar
1555,ETUDE HOUSE
1557,Insight Cosmetics
1558,Police
1559,Sheglam
1560,Nails Our Way
1563,Colour Me
1564,Colour Me
1565,Ajmal
1566,Lancome
1567,Anastasia Beverly Hills
1569,AND
1570,Huda Beauty
1572,M.A.C
1573,The Face Shop
1575,Maybelline New York
1578,Dr. Sheth's
1579,Plum
1586,Bombay Shaving Company
1588,Nivea
1590,Swiss Beauty
1591,Akind
1592,M.A.C
1593,Dream. Immerse. Play.
1594,Natio
1596,Anastasia Beverly Hills
1597,ClayCo.
1598,Nails Our Way
1600,Nails Our Way
1603,PAC
1604,Bioderma
1605,Rom&nd
1607,Jimmy Choo
1608,Dorall Collection
1609,Dream. Immerse. Play.
1611,M.A.C
1612,M.A.C
1615,Minimalist
1618,Diesel
1619,COSRX
1620,Dove
1621,AND
1623,Lakme
1627,Too Faced
1629,Schwarzkopf Professional
1630,M.A.C
1632,WishCare
1638,Bobbi Brown
1640,Real Techniques
1641,ClayCo.
1644,Insight Cosmetics
1646,Nivea
1647,The Body Shop
1648,Laneige
1651,WishCare
1652,Treecell
1654,Jean Paul Gaultier
1656,FENTY BEAUTY
1660,L'Oreal Paris
1661,Bronson Professional
1665,Bioderma
1667,Carolina Herrera
1668,M.A.C
1669,bareMinerals
1673,Tangle Teezer
1675,Calvin Klein
1678,Sulwhasoo
1681,COSRX
1683,Minimalist
1685,Dove
1686,COSRX
1689,bareMinerals
1694,Jo Malone London
1695,I'm From
1697,Smashbox
1698,Sachajuan
1699,Kama Ayurveda
1700,Nautica
1702,Jean Paul Gaultier
1705,mCaffeine
1707,Maybelline New York
1708,Lakme
1712,Nails Our Way
1713,Laneige
1714,Patchology
1715,Pilgrim
1716,CLINIQUE
1717,Minimalist
1718,AND
1720,Salvatore Ferragamo
1721,Sachajuan
1722,PIXI
1724,CR7 Cristiano Ronaldo
1725,Giorgio Armani
1726,LOVE beauty AND planet
1727,Wild Stone
1729,Neutrogena
1731,Anastasia Beverly Hills
1732,Colour Me
1733,bareMinerals
